Request,hw_forecast,Time
944,924,2015-11-11 00:00:00
1015,951,2015-11-11 00:05:00
870,987,2015-11-11 00:10:00
983,1113,2015-11-11 00:15:00
1196,994,2015-11-11 00:20:00
1018,1001,2015-11-11 00:25:00
1094,1266,2015-11-11 00:30:00
1029,1014,2015-11-11 00:35:00
767,938,2015-11-11 00:40:00
893,986,2015-11-11 00:45:00
980,949,2015-11-11 00:50:00
860,918,2015-11-11 00:55:00
901,911,2015-11-11 01:00:00
1048,946,2015-11-11 01:05:00
901,934,2015-11-11 01:10:00
958,970,2015-11-11 01:15:00
860,918,2015-11-11 01:20:00
966,967,2015-11-11 01:25:00
1122,1186,2015-11-11 01:30:00
999,963,2015-11-11 01:35:00
819,906,2015-11-11 01:40:00
996,945,2015-11-11 01:45:00
931,898,2015-11-11 01:50:00
865,890,2015-11-11 01:55:00
764,899,2015-11-11 02:00:00
813,929,2015-11-11 02:05:00
870,940,2015-11-11 02:10:00
931,985,2015-11-11 02:15:00
893,950,2015-11-11 02:20:00
936,930,2015-11-11 02:25:00
1100,1186,2015-11-11 02:30:00
911,980,2015-11-11 02:35:00
917,874,2015-11-11 02:40:00
1106,894,2015-11-11 02:45:00
999,931,2015-11-11 02:50:00
906,951,2015-11-11 02:55:00
933,902,2015-11-11 03:00:00
884,913,2015-11-11 03:05:00
761,909,2015-11-11 03:10:00
881,962,2015-11-11 03:15:00
843,903,2015-11-11 03:20:00
1013,943,2015-11-11 03:25:00
1040,1170,2015-11-11 03:30:00
1024,989,2015-11-11 03:35:00
942,875,2015-11-11 03:40:00
884,870,2015-11-11 03:45:00
893,876,2015-11-11 03:50:00
1032,881,2015-11-11 03:55:00
983,892,2015-11-11 04:00:00
1106,968,2015-11-11 04:05:00
1048,987,2015-11-11 04:10:00
950,930,2015-11-11 04:15:00
933,900,2015-11-11 04:20:00
1032,936,2015-11-11 04:25:00
1111,1231,2015-11-11 04:30:00
988,979,2015-11-11 04:35:00
873,915,2015-11-11 04:40:00
860,929,2015-11-11 04:45:00
961,942,2015-11-11 04:50:00
898,947,2015-11-11 04:55:00
969,927,2015-11-11 05:00:00
947,897,2015-11-11 05:05:00
865,885,2015-11-11 05:10:00
903,926,2015-11-11 05:15:00
865,903,2015-11-11 05:20:00
868,916,2015-11-11 05:25:00
1037,1226,2015-11-11 05:30:00
947,1047,2015-11-11 05:35:00
920,890,2015-11-11 05:40:00
881,935,2015-11-11 05:45:00
893,916,2015-11-11 05:50:00
893,950,2015-11-11 05:55:00
852,915,2015-11-11 06:00:00
865,934,2015-11-11 06:05:00
991,903,2015-11-11 06:10:00
819,910,2015-11-11 06:15:00
958,915,2015-11-11 06:20:00
893,918,2015-11-11 06:25:00
1078,1170,2015-11-11 06:30:00
1073,1000,2015-11-11 06:35:00
884,908,2015-11-11 06:40:00
852,906,2015-11-11 06:45:00
794,895,2015-11-11 06:50:00
950,919,2015-11-11 06:55:00
920,916,2015-11-11 07:00:00
928,935,2015-11-11 07:05:00
942,948,2015-11-11 07:10:00
1018,921,2015-11-11 07:15:00
994,888,2015-11-11 07:20:00
966,904,2015-11-11 07:25:00
1171,1209,2015-11-11 07:30:00
1141,994,2015-11-11 07:35:00
988,903,2015-11-11 07:40:00
857,948,2015-11-11 07:45:00
876,978,2015-11-11 07:50:00
925,1029,2015-11-11 07:55:00
893,942,2015-11-11 08:00:00
1056,1025,2015-11-11 08:05:00
917,936,2015-11-11 08:10:00
868,938,2015-11-11 08:15:00
884,936,2015-11-11 08:20:00
1007,1008,2015-11-11 08:25:00
1327,1227,2015-11-11 08:30:00
1384,1033,2015-11-11 08:35:00
936,908,2015-11-11 08:40:00
843,884,2015-11-11 08:45:00
895,878,2015-11-11 08:50:00
903,975,2015-11-11 08:55:00
893,943,2015-11-11 09:00:00
972,955,2015-11-11 09:05:00
901,977,2015-11-11 09:10:00
876,954,2015-11-11 09:15:00
991,1001,2015-11-11 09:20:00
961,1035,2015-11-11 09:25:00
1193,1182,2015-11-11 09:30:00
1059,969,2015-11-11 09:35:00
887,888,2015-11-11 09:40:00
865,907,2015-11-11 09:45:00
914,894,2015-11-11 09:50:00
911,931,2015-11-11 09:55:00
832,935,2015-11-11 10:00:00
1056,946,2015-11-11 10:05:00
1119,982,2015-11-11 10:10:00
879,986,2015-11-11 10:15:00
843,936,2015-11-11 10:20:00
991,945,2015-11-11 10:25:00
1163,1207,2015-11-11 10:30:00
1106,1075,2015-11-11 10:35:00
778,968,2015-11-11 10:40:00
974,995,2015-11-11 10:45:00
936,1009,2015-11-11 10:50:00
1196,984,2015-11-11 10:55:00
999,918,2015-11-11 11:00:00
893,970,2015-11-11 11:05:00
802,984,2015-11-11 11:10:00
813,985,2015-11-11 11:15:00
1026,957,2015-11-11 11:20:00
1106,951,2015-11-11 11:25:00
1062,1183,2015-11-11 11:30:00
972,1002,2015-11-11 11:35:00
788,919,2015-11-11 11:40:00
947,971,2015-11-11 11:45:00
931,930,2015-11-11 11:50:00
980,914,2015-11-11 11:55:00
832,924,2015-11-11 12:00:00
832,951,2015-11-11 12:05:00
895,987,2015-11-11 12:10:00
895,1113,2015-11-11 12:15:00
974,994,2015-11-11 12:20:00
890,1001,2015-11-11 12:25:00
1062,1266,2015-11-11 12:30:00
1168,1014,2015-11-11 12:35:00
983,938,2015-11-11 12:40:00
901,986,2015-11-11 12:45:00
862,949,2015-11-11 12:50:00
942,918,2015-11-11 12:55:00
852,911,2015-11-11 13:00:00
1114,946,2015-11-11 13:05:00
860,934,2015-11-11 13:10:00
917,970,2015-11-11 13:15:00
999,918,2015-11-11 13:20:00
868,967,2015-11-11 13:25:00
1029,1186,2015-11-11 13:30:00
1146,963,2015-11-11 13:35:00
974,906,2015-11-11 13:40:00
843,945,2015-11-11 13:45:00
895,898,2015-11-11 13:50:00
868,890,2015-11-11 13:55:00
931,899,2015-11-11 14:00:00
917,929,2015-11-11 14:05:00
1042,940,2015-11-11 14:10:00
1051,985,2015-11-11 14:15:00
881,950,2015-11-11 14:20:00
942,930,2015-11-11 14:25:00
1081,1186,2015-11-11 14:30:00
1081,980,2015-11-11 14:35:00
1004,874,2015-11-11 14:40:00
1010,894,2015-11-11 14:45:00
1042,931,2015-11-11 14:50:00
972,951,2015-11-11 14:55:00
879,902,2015-11-11 15:00:00
1144,913,2015-11-11 15:05:00
1157,909,2015-11-11 15:10:00
1212,962,2015-11-11 15:15:00
1059,903,2015-11-11 15:20:00
1084,943,2015-11-11 15:25:00
1313,1170,2015-11-11 15:30:00
1114,989,2015-11-11 15:35:00
1042,875,2015-11-11 15:40:00
1013,870,2015-11-11 15:45:00
931,876,2015-11-11 15:50:00
942,881,2015-11-11 15:55:00
1029,892,2015-11-11 16:00:00
811,968,2015-11-11 16:05:00
985,987,2015-11-11 16:10:00
944,930,2015-11-11 16:15:00
906,900,2015-11-11 16:20:00
1042,936,2015-11-11 16:25:00
1168,1231,2015-11-11 16:30:00
1081,979,2015-11-11 16:35:00
983,915,2015-11-11 16:40:00
876,929,2015-11-11 16:45:00
893,942,2015-11-11 16:50:00
999,947,2015-11-11 16:55:00
868,927,2015-11-11 17:00:00
933,897,2015-11-11 17:05:00
942,885,2015-11-11 17:10:00
827,926,2015-11-11 17:15:00
788,903,2015-11-11 17:20:00
838,916,2015-11-11 17:25:00
1106,1226,2015-11-11 17:30:00
1163,1047,2015-11-11 17:35:00
969,890,2015-11-11 17:40:00
1037,935,2015-11-11 17:45:00
961,916,2015-11-11 17:50:00
911,950,2015-11-11 17:55:00
1045,915,2015-11-11 18:00:00
955,934,2015-11-11 18:05:00
1021,903,2015-11-11 18:10:00
1163,910,2015-11-11 18:15:00
1062,915,2015-11-11 18:20:00
955,918,2015-11-11 18:25:00
1097,1170,2015-11-11 18:30:00
1073,1000,2015-11-11 18:35:00
914,908,2015-11-11 18:40:00
1015,906,2015-11-11 18:45:00
936,895,2015-11-11 18:50:00
906,919,2015-11-11 18:55:00
1021,916,2015-11-11 19:00:00
1086,935,2015-11-11 19:05:00
1097,948,2015-11-11 19:10:00
1024,921,2015-11-11 19:15:00
901,888,2015-11-11 19:20:00
1032,904,2015-11-11 19:25:00
1122,1209,2015-11-11 19:30:00
1040,994,2015-11-11 19:35:00
860,903,2015-11-11 19:40:00
860,948,2015-11-11 19:45:00
893,978,2015-11-11 19:50:00
928,1029,2015-11-11 19:55:00
1013,942,2015-11-11 20:00:00
1133,1025,2015-11-11 20:05:00
925,936,2015-11-11 20:10:00
977,938,2015-11-11 20:15:00
911,936,2015-11-11 20:20:00
862,1008,2015-11-11 20:25:00
1103,1227,2015-11-11 20:30:00
1174,1033,2015-11-11 20:35:00
909,908,2015-11-11 20:40:00
745,884,2015-11-11 20:45:00
808,878,2015-11-11 20:50:00
862,975,2015-11-11 20:55:00
939,943,2015-11-11 21:00:00
933,955,2015-11-11 21:05:00
854,977,2015-11-11 21:10:00
1024,954,2015-11-11 21:15:00
950,1001,2015-11-11 21:20:00
966,1035,2015-11-11 21:25:00
1048,1182,2015-11-11 21:30:00
1122,969,2015-11-11 21:35:00
821,888,2015-11-11 21:40:00
936,907,2015-11-11 21:45:00
753,894,2015-11-11 21:50:00
999,931,2015-11-11 21:55:00
933,935,2015-11-11 22:00:00
1024,946,2015-11-11 22:05:00
843,982,2015-11-11 22:10:00
868,986,2015-11-11 22:15:00
1004,936,2015-11-11 22:20:00
1237,945,2015-11-11 22:25:00
1171,1207,2015-11-11 22:30:00
1040,1075,2015-11-11 22:35:00
922,968,2015-11-11 22:40:00
944,995,2015-11-11 22:45:00
961,1009,2015-11-11 22:50:00
862,984,2015-11-11 22:55:00
854,918,2015-11-11 23:00:00
1042,970,2015-11-11 23:05:00
933,984,2015-11-11 23:10:00
996,985,2015-11-11 23:15:00
939,957,2015-11-11 23:20:00
985,951,2015-11-11 23:25:00
1040,1183,2015-11-11 23:30:00
1106,1002,2015-11-11 23:35:00
791,919,2015-11-11 23:40:00
873,971,2015-11-11 23:45:00
783,930,2015-11-11 23:50:00
786,914,2015-11-11 23:55:00
890,835,2015-11-12 00:00:00
865,872,2015-11-12 00:05:00
1037,900,2015-11-12 00:10:00
994,947,2015-11-12 00:15:00
870,915,2015-11-12 00:20:00
876,914,2015-11-12 00:25:00
950,1144,2015-11-12 00:30:00
1056,979,2015-11-12 00:35:00
884,864,2015-11-12 00:40:00
993,889,2015-11-12 00:45:00
942,880,2015-11-12 00:50:00
876,852,2015-11-12 00:55:00
958,824,2015-11-12 01:00:00
942,907,2015-11-12 01:05:00
958,862,2015-11-12 01:10:00
860,891,2015-11-12 01:15:00
925,845,2015-11-12 01:20:00
903,895,2015-11-12 01:25:00
1078,1085,2015-11-12 01:30:00
1198,931,2015-11-12 01:35:00
903,850,2015-11-12 01:40:00
1021,889,2015-11-12 01:45:00
972,845,2015-11-12 01:50:00
868,820,2015-11-12 01:55:00
808,815,2015-11-12 02:00:00
991,847,2015-11-12 02:05:00
947,878,2015-11-12 02:10:00
1010,917,2015-11-12 02:15:00
827,873,2015-11-12 02:20:00
843,853,2015-11-12 02:25:00
1070,1097,2015-11-12 02:30:00
1152,938,2015-11-12 02:35:00
829,811,2015-11-12 02:40:00
824,856,2015-11-12 02:45:00
895,879,2015-11-12 02:50:00
909,859,2015-11-12 02:55:00
862,836,2015-11-12 03:00:00
1062,869,2015-11-12 03:05:00
1130,851,2015-11-12 03:10:00
1007,904,2015-11-12 03:15:00
909,850,2015-11-12 03:20:00
947,881,2015-11-12 03:25:00
1015,1090,2015-11-12 03:30:00
1171,933,2015-11-12 03:35:00
860,831,2015-11-12 03:40:00
901,824,2015-11-12 03:45:00
950,817,2015-11-12 03:50:00
925,847,2015-11-12 03:55:00
893,859,2015-11-12 04:00:00
993,919,2015-11-12 04:05:00
1018,919,2015-11-12 04:10:00
917,864,2015-11-12 04:15:00
868,838,2015-11-12 04:20:00
829,874,2015-11-12 04:25:00
1138,1126,2015-11-12 04:30:00
1051,925,2015-11-12 04:35:00
838,843,2015-11-12 04:40:00
1024,864,2015-11-12 04:45:00
1067,867,2015-11-12 04:50:00
1075,884,2015-11-12 04:55:00
865,853,2015-11-12 05:00:00
944,843,2015-11-12 05:05:00
977,836,2015-11-12 05:10:00
840,860,2015-11-12 05:15:00
805,826,2015-11-12 05:20:00
1048,839,2015-11-12 05:25:00
1092,1119,2015-11-12 05:30:00
1053,989,2015-11-12 05:35:00
857,853,2015-11-12 05:40:00
879,867,2015-11-12 05:45:00
860,862,2015-11-12 05:50:00
843,882,2015-11-12 05:55:00
794,862,2015-11-12 06:00:00
901,883,2015-11-12 06:05:00
917,862,2015-11-12 06:10:00
811,870,2015-11-12 06:15:00
827,861,2015-11-12 06:20:00
1024,857,2015-11-12 06:25:00
1048,1080,2015-11-12 06:30:00
1130,941,2015-11-12 06:35:00
903,845,2015-11-12 06:40:00
772,852,2015-11-12 06:45:00
840,826,2015-11-12 06:50:00
985,870,2015-11-12 06:55:00
917,873,2015-11-12 07:00:00
1056,878,2015-11-12 07:05:00
936,862,2015-11-12 07:10:00
917,870,2015-11-12 07:15:00
961,856,2015-11-12 07:20:00
819,856,2015-11-12 07:25:00
1146,1120,2015-11-12 07:30:00
1034,965,2015-11-12 07:35:00
852,855,2015-11-12 07:40:00
952,878,2015-11-12 07:45:00
942,889,2015-11-12 07:50:00
931,947,2015-11-12 07:55:00
893,869,2015-11-12 08:00:00
1146,960,2015-11-12 08:05:00
933,867,2015-11-12 08:10:00
816,849,2015-11-12 08:15:00
901,858,2015-11-12 08:20:00
819,928,2015-11-12 08:25:00
1204,1152,2015-11-12 08:30:00
1138,993,2015-11-12 08:35:00
958,841,2015-11-12 08:40:00
991,793,2015-11-12 08:45:00
819,804,2015-11-12 08:50:00
901,882,2015-11-12 08:55:00
860,868,2015-11-12 09:00:00
966,878,2015-11-12 09:05:00
983,887,2015-11-12 09:10:00
1212,894,2015-11-12 09:15:00
1127,919,2015-11-12 09:20:00
1040,943,2015-11-12 09:25:00
1231,1109,2015-11-12 09:30:00
1217,944,2015-11-12 09:35:00
884,819,2015-11-12 09:40:00
857,835,2015-11-12 09:45:00
816,822,2015-11-12 09:50:00
920,876,2015-11-12 09:55:00
893,861,2015-11-12 10:00:00
1034,898,2015-11-12 10:05:00
977,910,2015-11-12 10:10:00
829,885,2015-11-12 10:15:00
857,861,2015-11-12 10:20:00
914,896,2015-11-12 10:25:00
1135,1125,2015-11-12 10:30:00
1089,992,2015-11-12 10:35:00
835,867,2015-11-12 10:40:00
942,925,2015-11-12 10:45:00
1013,924,2015-11-12 10:50:00
909,925,2015-11-12 10:55:00
1089,869,2015-11-12 11:00:00
884,913,2015-11-12 11:05:00
1073,880,2015-11-12 11:10:00
966,889,2015-11-12 11:15:00
966,886,2015-11-12 11:20:00
1048,913,2015-11-12 11:25:00
983,1068,2015-11-12 11:30:00
1138,964,2015-11-12 11:35:00
852,852,2015-11-12 11:40:00
909,884,2015-11-12 11:45:00
824,843,2015-11-12 11:50:00
985,850,2015-11-12 11:55:00
1032,835,2015-11-12 12:00:00
977,872,2015-11-12 12:05:00
955,900,2015-11-12 12:10:00
914,947,2015-11-12 12:15:00
999,915,2015-11-12 12:20:00
1212,914,2015-11-12 12:25:00
1253,1144,2015-11-12 12:30:00
1133,979,2015-11-12 12:35:00
1092,864,2015-11-12 12:40:00
1141,889,2015-11-12 12:45:00
1013,880,2015-11-12 12:50:00
1021,852,2015-11-12 12:55:00
1034,824,2015-11-12 13:00:00
1048,907,2015-11-12 13:05:00
865,862,2015-11-12 13:10:00
1062,891,2015-11-12 13:15:00
958,845,2015-11-12 13:20:00
835,895,2015-11-12 13:25:00
1245,1085,2015-11-12 13:30:00
1163,931,2015-11-12 13:35:00
884,850,2015-11-12 13:40:00
811,889,2015-11-12 13:45:00
917,845,2015-11-12 13:50:00
999,820,2015-11-12 13:55:00
1122,815,2015-11-12 14:00:00
974,847,2015-11-12 14:05:00
917,878,2015-11-12 14:10:00
917,917,2015-11-12 14:15:00
966,873,2015-11-12 14:20:00
1035,853,2015-11-12 14:25:00
1024,1097,2015-11-12 14:30:00
1305,938,2015-11-12 14:35:00
980,811,2015-11-12 14:40:00
1007,856,2015-11-12 14:45:00
906,879,2015-11-12 14:50:00
780,859,2015-11-12 14:55:00
832,836,2015-11-12 15:00:00
958,869,2015-11-12 15:05:00
1007,851,2015-11-12 15:10:00
993,904,2015-11-12 15:15:00
922,850,2015-11-12 15:20:00
1004,881,2015-11-12 15:25:00
1127,1090,2015-11-12 15:30:00
1040,933,2015-11-12 15:35:00
780,831,2015-11-12 15:40:00
925,824,2015-11-12 15:45:00
887,817,2015-11-12 15:50:00
791,847,2015-11-12 15:55:00
680,859,2015-11-12 16:00:00
977,919,2015-11-12 16:05:00
829,919,2015-11-12 16:10:00
860,864,2015-11-12 16:15:00
868,838,2015-11-12 16:20:00
893,874,2015-11-12 16:25:00
1032,1126,2015-11-12 16:30:00
1196,925,2015-11-12 16:35:00
950,843,2015-11-12 16:40:00
909,864,2015-11-12 16:45:00
1081,867,2015-11-12 16:50:00
1122,884,2015-11-12 16:55:00
1007,853,2015-11-12 17:00:00
890,843,2015-11-12 17:05:00
1013,836,2015-11-12 17:10:00
1015,860,2015-11-12 17:15:00
1073,826,2015-11-12 17:20:00
1122,839,2015-11-12 17:25:00
1174,1119,2015-11-12 17:30:00
1157,989,2015-11-12 17:35:00
1001,853,2015-11-12 17:40:00
1018,867,2015-11-12 17:45:00
947,862,2015-11-12 17:50:00
999,882,2015-11-12 17:55:00
865,862,2015-11-12 18:00:00
832,883,2015-11-12 18:05:00
813,862,2015-11-12 18:10:00
942,870,2015-11-12 18:15:00
780,861,2015-11-12 18:20:00
835,857,2015-11-12 18:25:00
991,1080,2015-11-12 18:30:00
1010,941,2015-11-12 18:35:00
876,845,2015-11-12 18:40:00
827,852,2015-11-12 18:45:00
843,826,2015-11-12 18:50:00
729,870,2015-11-12 18:55:00
933,873,2015-11-12 19:00:00
876,878,2015-11-12 19:05:00
942,862,2015-11-12 19:10:00
966,870,2015-11-12 19:15:00
1040,856,2015-11-12 19:20:00
1138,856,2015-11-12 19:25:00
1245,1120,2015-11-12 19:30:00
1171,965,2015-11-12 19:35:00
909,855,2015-11-12 19:40:00
969,878,2015-11-12 19:45:00
852,889,2015-11-12 19:50:00
829,947,2015-11-12 19:55:00
797,869,2015-11-12 20:00:00
936,960,2015-11-12 20:05:00
829,867,2015-11-12 20:10:00
1130,849,2015-11-12 20:15:00
936,858,2015-11-12 20:20:00
958,928,2015-11-12 20:25:00
1067,1152,2015-11-12 20:30:00
1138,993,2015-11-12 20:35:00
917,841,2015-11-12 20:40:00
901,793,2015-11-12 20:45:00
868,804,2015-11-12 20:50:00
1062,882,2015-11-12 20:55:00
1026,868,2015-11-12 21:00:00
1223,878,2015-11-12 21:05:00
996,887,2015-11-12 21:10:00
931,894,2015-11-12 21:15:00
860,919,2015-11-12 21:20:00
794,943,2015-11-12 21:25:00
1204,1109,2015-11-12 21:30:00
1138,944,2015-11-12 21:35:00
909,819,2015-11-12 21:40:00
876,835,2015-11-12 21:45:00
786,822,2015-11-12 21:50:00
811,876,2015-11-12 21:55:00
893,861,2015-11-12 22:00:00
843,898,2015-11-12 22:05:00
884,910,2015-11-12 22:10:00
756,885,2015-11-12 22:15:00
1004,861,2015-11-12 22:20:00
980,896,2015-11-12 22:25:00
1042,1125,2015-11-12 22:30:00
1193,992,2015-11-12 22:35:00
917,867,2015-11-12 22:40:00
1097,925,2015-11-12 22:45:00
966,924,2015-11-12 22:50:00
1029,925,2015-11-12 22:55:00
914,869,2015-11-12 23:00:00
917,913,2015-11-12 23:05:00
1004,880,2015-11-12 23:10:00
1070,889,2015-11-12 23:15:00
950,886,2015-11-12 23:20:00
1021,913,2015-11-12 23:25:00
1122,1068,2015-11-12 23:30:00
1193,964,2015-11-12 23:35:00
966,852,2015-11-12 23:40:00
838,884,2015-11-12 23:45:00
928,843,2015-11-12 23:50:00
933,850,2015-11-12 23:55:00
849,928,2015-11-13 00:00:00
775,967,2015-11-13 00:05:00
1220,974,2015-11-13 00:10:00
2269,1019,2015-11-13 00:15:00
2457,1018,2015-11-13 00:20:00
2383,1003,2015-11-13 00:25:00
1941,1224,2015-11-13 00:30:00
1384,1085,2015-11-13 00:35:00
991,936,2015-11-13 00:40:00
838,986,2015-11-13 00:45:00
865,946,2015-11-13 00:50:00
1070,924,2015-11-13 00:55:00
911,921,2015-11-13 01:00:00
991,1006,2015-11-13 01:05:00
909,925,2015-11-13 01:10:00
1004,974,2015-11-13 01:15:00
1073,934,2015-11-13 01:20:00
876,953,2015-11-13 01:25:00
993,1178,2015-11-13 01:30:00
1193,1055,2015-11-13 01:35:00
898,918,2015-11-13 01:40:00
1024,956,2015-11-13 01:45:00
991,937,2015-11-13 01:50:00
838,918,2015-11-13 01:55:00
843,914,2015-11-13 02:00:00
1024,928,2015-11-13 02:05:00
840,960,2015-11-13 02:10:00
895,976,2015-11-13 02:15:00
890,944,2015-11-13 02:20:00
1001,949,2015-11-13 02:25:00
1024,1183,2015-11-13 02:30:00
1065,1091,2015-11-13 02:35:00
843,906,2015-11-13 02:40:00
958,948,2015-11-13 02:45:00
925,967,2015-11-13 02:50:00
868,937,2015-11-13 02:55:00
917,916,2015-11-13 03:00:00
1048,975,2015-11-13 03:05:00
893,952,2015-11-13 03:10:00
1015,978,2015-11-13 03:15:00
909,925,2015-11-13 03:20:00
909,982,2015-11-13 03:25:00
1212,1176,2015-11-13 03:30:00
1124,1054,2015-11-13 03:35:00
961,899,2015-11-13 03:40:00
854,911,2015-11-13 03:45:00
709,908,2015-11-13 03:50:00
911,916,2015-11-13 03:55:00
944,928,2015-11-13 04:00:00
1206,1009,2015-11-13 04:05:00
1119,994,2015-11-13 04:10:00
1073,918,2015-11-13 04:15:00
1026,911,2015-11-13 04:20:00
870,953,2015-11-13 04:25:00
963,1210,2015-11-13 04:30:00
1122,1042,2015-11-13 04:35:00
961,911,2015-11-13 04:40:00
879,937,2015-11-13 04:45:00
838,981,2015-11-13 04:50:00
860,1014,2015-11-13 04:55:00
939,945,2015-11-13 05:00:00
870,907,2015-11-13 05:05:00
928,937,2015-11-13 05:10:00
846,927,2015-11-13 05:15:00
879,899,2015-11-13 05:20:00
983,949,2015-11-13 05:25:00
1078,1191,2015-11-13 05:30:00
1253,1096,2015-11-13 05:35:00
835,930,2015-11-13 05:40:00
819,948,2015-11-13 05:45:00
852,939,2015-11-13 05:50:00
843,948,2015-11-13 05:55:00
852,921,2015-11-13 06:00:00
958,938,2015-11-13 06:05:00
958,928,2015-11-13 06:10:00
860,944,2015-11-13 06:15:00
802,905,2015-11-13 06:20:00
895,929,2015-11-13 06:25:00
961,1169,2015-11-13 06:30:00
1182,1055,2015-11-13 06:35:00
813,906,2015-11-13 06:40:00
963,896,2015-11-13 06:45:00
955,887,2015-11-13 06:50:00
966,927,2015-11-13 06:55:00
955,954,2015-11-13 07:00:00
887,956,2015-11-13 07:05:00
942,956,2015-11-13 07:10:00
846,967,2015-11-13 07:15:00
1070,953,2015-11-13 07:20:00
961,948,2015-11-13 07:25:00
